proj_id,proj_show,proj_featured1,proj_featured,proj_title,proj_folder,proj_awards_title,proj_subtitle,proj_bullets,proj_num_images,proj_descr,proj_video_url,proj_category_class,proj_text_thumb
65,no,,,Wuxi School,wuxi-school,,,"Category==School | Learning Center | Educational buildings==Client==With United Design Group, China==Status==Design Development==Year==2011",16,"Design for a middle school in Wuxi, China in collaboration with UDG, China. <br><br> 

Image Source, UDG, China.",,architecture,colors and playful spaces
66,no,,featured,The Womb - Workdesk,womb-workdesk-formica,,,Category==Furniture Design | Work desk | Work from home life | Toddlers' space==Client==Formica Form 2021==Status==Design Entry==Year==2021,16,"In the year 2020, the world faced a serious challenge, the COVID -19 pandemic. To maintain social hygiene, parents had to manage kids and at the same time had to work from home with the same diligence, as they would in an office setting. This created havoc for tele working parents with child-care responsibilities. In these testing times, we hypothesize that having a comfortable furniture, that addresses the need of caregiving and work will improve efficiency in parenting and ease in working from home ensuring increasing productivity. Owing to the need of a new working space, we present 'The Womb', a work desk that comes with added toddlers space where they can live and play. In this space, parents can place a crib for new born babies, or they can use it as a play area for kids between the age 1-5 years. This furniture allows parents to peacefully focus on work, while keeping a protective eye on their kids. Currently, lacking such a furniture, parents either have to sit on their computer with their kids or they make to and fro trips between their workplace and their designated kids area. We envision with 'The Womb', parents can better focus on work, while they know there kids are safe and secure, right next to them.  <br><br>

The furniture is of size 1775 mm x 1810 mm x 1700 mm (length, width, and height) making it a compact unit that can be placed in a living space or in a bedroom. In addition, the design accommodates ample flexibility in terms of visual and physical connection to allow kids privacy and the right set of parental care. For example, it comes with a removable fence to ensure kids stay at the toddlers' area. In addition, the work desk can be folded to allow increase in work space, or increase in visual connectivity to the toddlers' area (that also creates more open space for kids). Similarly, it is designed with vertical and horizontal louvers that creates an enclosure (which kids love), yet provides a visual connection to them such that parents can ensure they are safe and well protected.",https://youtu.be/COBKE7qShXQ,design,furniture design
67,,,,Perform Net Zero Residences,perform-net-zero-house,,,Category==Residences | Net Zero Building | Sustainable Design==Client==Perform Net Zero Trust==Status==Design Entry==Year==2016,16,"COMMUNITY <br>
 Embrace Zero, is an exemplary reflection to improve human life by providing an urban realm which ensures, community engagement, public interaction and an opportunity to seek and provide for everyone. Respecting the local guidelines of NC2-P40 zone, the proposed mixed use development employs public functions at the ground level, including street facing restaurants, cafes, and groceries, educational spaces including library, maker spaces and vocational training facilities. It provides bike storages encouraging biking around the neighborhood. Upper levels are revitalized by providing strategically located sky gardens and cantilevered semi sheltered spaces to enrich a diverse and intriguing spatial experience. <br><br>

DESIGN<br>
The upper blocks are up to 5 level high, composed of community spaces and residential apartments including studio (465 sqft), one bedroom (650 sqft) and two bedroom (900 sqft) apartments.  They are designed to be compact and efficient, encouraging residents to spend leisure time outside with each other in the neighborhood. Reducing apartment size also ensures lower price range for the units, making it affordable for a larger population of the city. All living units allow natural ventilation by eliminating traditional double loaded corridor plan and introducing semi-open single loaded corridor system with operable screens. Operable windows on opposing sides of the unit allow free cross flow of air. The blocks maximize southern exposure to gain maximum passive solar gain and day lighting by orienting to the south and strategically stepping down for continued exposure. 
The envelope is tightly sealed and well-insulated, and thermal bridging is minimized. External vertical shutters across west and southern facade are opened during cool weather to take advantage of passive solar heat gains, and are closed during warmer weather, providing resident engagement and control while eliminating the need for a cooling system. <br><br>
 
ENERGY<br>
 The PV arrays overhang the building to maximize the electricity generation. PV cells are covered in polychromatic glass laminate, which is highly efficient to capture and distribute daylight into covered courts. Hot water and space heating is ensured through a ground-source heat pump. Floors are heated and cooled via in-slab radiant conditioning supplied by heat pumps for increased occupant comfort. Leveraging high rainfall potential of the region, a rain water cistern of size 30 000 cubic feet is provided underneath the community garden to allow grey water reuse. We used nail laminated timber as the structural frame considering its best environmental performance with respect to global warming, environment acidification, ozone depletion, smog creation etc.<br><br>",,architecture,ecological design
68,no,,featured,Interpreting non-flat surfaces ,non-flat-surfaces,Published as full paper at Simaud Conference 2019,Published as full paper at Simaud Conference 2019,"Category==Automated analysis | Walkability analysis | Node edge data structure==Client==Collaborative Research==Status==Simaud 2018 full paper publication==Year==2019==Team==With Mathew Swartz, NJIT, USA",16,"Through laser scanning, GIS data, new manufacturing methods, and complex designs, analysis of terrain in relation to human mobility is becoming ever more necessary.  While standards for wheelchair ramps exist, they rarely show the entire picture, nor do they account for surface variation beyond a single axis.  Although graph creation techniques in CAD exist for flat terrain, directional edge weights accounting for this variation are lacking.  In this paper, a summary of research from both biomechanics and architecture in relation to surface walkability is presented, followed by a review of creation methods for a searchable graph representing an environment in CAD.  A novel graph creation method that can respond to variations in surface height for walkability analysis is presented, where the edge weights of the graph are based on surface condition of parent-child height variations. ",,analytics,walkability analysis
69,,,featured,Nanjing Chinese Houses,nanjing-urban-plan,,,"Category==Master planning | Vernacular Architecture | Traditional houses==Client==With Vast Design LLC, Shanghai, China==Status==Design Development==Year==2012",16,"Nanjing is the old capital city of China rich in heritage and historical texture.
The city reflects unique architectural style and urban pattern. The project undertakes
in-depth research of the existing site texture and community housing
development in Nanjing. The study of existing indigenous typology of houses and
lifestyle of people is one of the major goals of the research. The design challenge
was to provide the essentials of a modern day community emulating
the archaic configurations and features of design. <br><br>

Image Source, Vast LLC, China.",,architecture,chinese houses
70,,,featured,Xujiahui Tourism Hub,xujiahui-tourism-hub,,,"Category==Master planning | Tourism district | Adaptive reuse==Client==With Vast Design LLC, Shanghai, China==Status==Design Development==Year==2012",16,"In the current urban structure of Shanghai, Xujiahui plays a key role as one of the central commercial hub.
Nevertheless its commercial significance fails to impart any distinctive character to Xujiahui that would otherwise
attract a big percentage of tourists as compared to other notable tourist spots in the city (Bund, Nanjing
Road, People square). An initial study indicates that an incoherent delineation of public
spaces is responsible for its failure to create an impactful urban space. The research outlines the existing
fallacies in present urban design scenario and the process of finding appropriate design solutions that could
be incorporated into urban planning guidelines to change lifestyles of people by changing their urban space. <br><br>

Evaluations are made based on research inventory and successful existing urban design
models of Bund and Nanjing road. The archaic architectural landmarks like church, museums and
old libraries are rarely emphasized to create appealing public gathering spaces. Some are
overshadowed by cluttered modern built forms in spaces that previously existed as plazas.
The project addresses both macro and micro level variances in the urban design,
potential sustainable solutions and related advancement in the policy making systems in
the urban planning regulations of Xujiahui to elevate it to 4A level tourist spot. The research
also analyses the causality between the planning reform in Xujiahui and possibility of increased
revenue generation from tourism that would further impact development. <br><br>

Image Source, Vast LLC, China.",,urban-design,entertainment district
71,,,featured,Xujiahui Bridge Design,xujiahui-bridge-design,,,"Category==Bridge Design | Tourism district | Urban planning==Client==With Vast Design LLC, Shanghai, China==Status==Design Development==Year==2012",16,"Design proposal of a novel bridge at the intersection of the popular Xujiahui tourism district in Shanghai, China. The design is motivated to increase pedestrian footfall, augment pedestrian 360 degree view lines, and to foster a better tourism experience in the region.",,urban-design,urban connectivity
72,,,featured,Haier Mixed Use,haier-qingdao-headquarters,,,"Category==Office space | Residences | Mixed use development==Client==With Vast Design LLC, Shanghai, China==Status==Design Development==Year==2011",16,"Design proposal for Haiers' mixed use development complex that included office space, workers' residences and commercial blocks. <br><br>

Image source, VAST LLC, China.",,architecture,live work play
73,no,,featured,PS1 Pavillion Design,ps1-design-pavillion,,,"Category==Exhibition spaces | Semi-sheltered enclosure | Pavillion==Client==PS1 Pavellion, New York, USA==Status==Design Entry==Year==2010",16,"Design proposal for PS1 Pavillion Design in New York, USA. Followed parametric modeling approaches, inspired from origami in architectural form finding.",,architecture,gathering and socializing
74,,,featured,Futuristic Green Habitat,igbc-green-habitat,Winner of the 2nd prize at the Indian Green Building Council's ecodesign competition,Ranked 2nd Prize,"Category==Ecological residences | Futuristic House | Green design==Client==Indian Green Building Council, India==Status==Ranked 2nd prize in a national competition==Year==2006==Team==With S. Chakraborti, JU, India ",16,Winning design entry for a futurstic house designed using ecological and green design principals. Incorporated biomimetic design concepts to reduce space wastage and maximise energy harvestation for a sustainable lifestyle.,,architecture,energy conservation
75,no,,featured,Levine Hall Skin Redesign,levine-hall-redesign,,,"Category==Adaptive reuse | Green Design | Facade development==Client==Upenn Graduate Work, USA==Status==Research Study==Year==2010==Team==With N. Arya, Upenn, USA",16,"Redesign and redevelopment proposal of the external glazed skin of the Levine Hall building at University of Pennsylvania, USA. Deploying HOBO sensors, measured and gathered weather data. Using the collected data, simulated the indoor climate condition to propose a redesigned glazed facade to significantly alleviate indoor comfort levels round the year.",,architecture,energy modeling
76,,,featured,Double Curved Surfacing,doublecrv-surfacing,,,"Category==Digital Fabrication | Form finding research | Laser cutting==Client==Upenn Graduate Work, USA==Status==Research Study==Year==2010",16,"Research exploration to study the tectonics of a doubly curved surface. Different means of fabricating this surface were explored including laser cutting, and wood working with custom designed joinery details.",,architecture,fabricated pieces
77,,,featured,PNG Pavillion Construction,png-pavillion,,Fabricated pavillion ,"Category==Digital Fabrication | Pavillion Design | Wood work==Client==Upenn Graduate Work, USA==Status==Research and Fabrication==Year==2010==Team==Group of more than 12 graduate students with Prof. J. Edminston, Upenn, USA",16,"A problem to deliver a pavillion space for Papua New Guinea using parametric wood work principles was explored by a team of graduate students at Upenn, USA. The pavillion was fabricated using laser cutting best practices to minimize material wastage and maximise form complexity. Rhino scripts and custom design fabrication programs were written to allow cutting of custom joineries to ensure wood pieces match and connect with each other precisely.",,architecture,digital prototyping
78,,,,Binhai Road Landscape Design,binhai-road-landscapes,,,"Category==Landscape design | Green scapes==Client==With IAPA LLC, China==Status==Design proposal==Year==2010",16,"Design proposal for a landscape park next to the Binhai Road area in Guanzhou, China. <br><br>

Image source, IAPA LLC, China.",,urban-design,green parks
79,no,,,Utopian Enclosures,utopian-enclosures,,,"Category==Utopian spaces | Smart components | Aggregation and vareity==Client==Upenn Graduate Work, USA==Status==Masters' project==Year==2010",16,"Prefabrication as pure repetition of standard elements is an outdated mode of operation. Mass-customized units are evolving
as a series of varying elements, defined by an analysis of specific performance, rather than just structural requirements. Standard
repetition has been replaced by custom variation. The Utopian city in the design concept gives importance to human interaction
and community formation. Each unit in this utopian system is inspired from Cocoliths found in natural systems. <br><br>

Units are so designed and arranged that they create overlapping interaction zone and green
spaces . The ground element or the landscape also gives community facilities like recreation ,parking zone along with commercial
zones. The units are developed with component intelligence. These components fit in each other after morphing in to a perfect structural
element or a facade element, with a gradual variation such that they form an integral part of the system.",,architecture,parametric tectonics
80,no,,,Complex pattern,complex-patterns,,,"Category==Facade design | 3D patterning | Smart geometries==Client==Upenn Graduate Work, USA==Status==Masters' project==Year==2010",16,Smart geometry modeling and aggregation research studies to build intriguing patterns for facade systems.,,design,facade design
81,,,,Citizens' Affect from Tweets,affect-in-cities,,Presented at the ACSP 2019 Conference,"Category==Participatory design | Citizens' Affect Analysis | Opinion Mining==Client==PHD Research, Georgia Tech USA==Status==On-going Research==Year==2016-Current",16,"Cities are associated with higher rates
of most mental health problems. Urban Planners can encourage
designing urban spaces conducive to
peoples' mental wellbeing. It has been studied that certain
urban spaces, are responsible for
mental wellbeing more than others. In this work, we predict 'urban activity' through linguistic analysis of Tweet text
We also understand 'where' people express more positive affect while
engaging in various urban activities.",,urban-planning,text modeling
82,,,,Unveiling Urban Stress using Tweets,urban-stress-from-tweets,,Presented at the ACSP 2020 Conference,"Category==Participatory design | Citizens' Affect Analysis | Opinion Mining==Client==PHD Research, Georgia Tech USA==Status==On-going Research==Year==2016-Current",16,"Stress is a psychological reaction of
individuals when they perceive the
environmental demand exceeds their
adaptive capacity. We hypothize that people are
less stressed in
areas with a higher degree of
urbaneness. From neural netwok based modeling text data we found that people engage in de
stress activities in
neighborhoods with higher
urban score.
i.e. neighborhoods with higher
building density , smaller block
sizes, higher proportion of
gridded streets, and high land
use diversity. The output of this research can be useful in the
development of audit tool / check list for planners and
designers. It can provide cues for
public awareness and it aims to
encourage reduction in the mental health cost in cities
through investment in public amenities.",,urban-planning,quantifying urban stress
83,,,,Social media mining during calamity,i85-bridge-collapse-study,,Presented at the ACSP 2018 Conference,"Category==Participatory design | Citizens' Affect Analysis | Opinion Mining==Client==PHD Research, Georgia Tech USA==Status==On-going Research==Year==2016-Current",16,"A portion of the I-85 bridge in Atlanta, GA, USA (92FT) collapsed on 30th March 2017, leaving North and South bound traffic through GA disrupted. This research answered questions such as: (1) How did the collapse affect people?
(2) Were they more stressed than usual
during that period? (3) What were their coping mechanisms? (4) Were there differences in the
sentiments expressed by locals vs. those from other areas? The findings emphasize the
necessity of alternative transportation infrastructure to efficiently reroute traffic both local and from other areas going through
Atlanta when a major interstate is dysfunctional. Bike paths and street design conducive to safe biking is a necessity to deal with
travel disruptions. Social media analysis allows planners and policy makers to gauge people’s
experience during crisis. Reduce cost and time for analysis. The analysis captures specific nuances such as
people's perception and
preference during a crisis incident. This is often overlooked when dealing with
only traffic data. Most findings matched with the results available from traffic data . As such
social media can be considered a reliable source of data when used as an
alternative to enrich the finding of a crisis event.",,urban-planning,large scale historic text analysis
